yearmonth,grid_id,event_count,mag_mean,mag_max,mag_std,depth_mean,lat,lon,anomaly_if,anomaly_score_if,zscore_event_count,zscore_mag_max,zscore_max,anomaly_zscore,anomaly_combined
2008-11,-0.1_124.7,1,4.2,4.2,0.0,16.0,-0.08,124.66,0,-0.4060710329173327,0.12859721118292894,0.6916078823193549,0.6916078823193549,0,0
2008-11,-0.2_125.2,1,4.2,4.2,0.0,10.0,-0.16,125.19,0,-0.4013890551918553,0.12859721118292894,0.6916078823193549,0.6916078823193549,0,0
2008-11,-0.3_123.4,1,4.7,4.7,0.0,78.0,-0.26,123.41,0,-0.44688628525973934,0.12859721118292894,1.3193786123495648,1.3193786123495648,0,0
2008-11,-0.4_133.4,2,4.85,4.9,0.07071067811865482,10.0,-0.43,133.38,0,-0.4974242524991748,0.2785934713932322,1.5704869043616492,1.5704869043616492,0,0
2008-11,-0.4_99.8,1,5.3,5.3,0.0,119.0,-0.45,99.82,0,-0.5698695244248551,0.12859721118292894,2.0727034883858164,2.0727034883858164,1,1
2008-11,-0.5_133.4,1,4.9,4.9,0.0,10.0,-0.46,133.4,0,-0.4595429366660383,0.12859721118292894,1.5704869043616492,1.5704869043616492,0,0
2008-11,-0.6_98.9,1,3.0,3.0,0.0,20.0,-0.6,98.9,0,-0.38347284700876194,0.12859721118292894,0.8150418697531493,0.8150418697531493,0,0
2008-11,-0.7_123.3,1,4.0,4.0,0.0,20.0,-0.72,123.3,0,-0.3853067260710526,0.12859721118292894,0.4404995903072707,0.4404995903072707,0,0
2008-11,-0.8_127.1,1,4.9,4.9,0.0,53.0,-0.78,127.07,0,-0.46979179052511566,0.12859721118292894,1.5704869043616492,1.5704869043616492,0,0
2008-11,-0.9_103.4,1,4.1,4.1,0.0,61.0,-0.9,103.44,0,-0.41966930724510976,0.12859721118292894,0.5660537363133122,0.5660537363133122,0,0
2008-11,-0.9_123.7,1,3.7,3.7,0.0,39.0,-0.88,123.68,0,-0.39371254785436427,0.12859721118292894,0.06383715228914491,0.12859721118292894,0,0
2008-11,-0.9_99.6,1,5.1,5.1,0.0,208.0,-0.94,99.61,0,-0.5534196145270245,0.12859721118292894,1.8215951963737322,1.8215951963737322,0,0
2008-11,-1.0_100.1,1,3.7,3.7,0.0,10.0,-1.02,100.07,0,-0.371912657341145,0.12859721118292894,0.06383715228914491,0.12859721118292894,0,0
2008-11,-1.3_107.0,1,5.7,5.7,0.0,10.0,-1.27,106.97,1,-0.6083108412666036,0.12859721118292894,2.5749200724099848,2.5749200724099848,1,1
2008-11,-1.6_109.8,1,5.2,5.2,0.0,10.0,-1.59,109.79,0,-0.5342614172127788,0.12859721118292894,1.9471493423797748,1.9471493423797748,0,0
2008-11,-1.6_139.3,1,5.1,5.1,0.0,30.0,-1.57,139.29,0,-0.5116408660594561,0.12859721118292894,1.8215951963737322,1.8215951963737322,0,0
2008-11,-2.0_121.4,1,4.6,4.6,0.0,10.0,-1.97,121.36,0,-0.415623589721242,0.12859721118292894,1.1938244663435222,1.1938244663435222,0,0
2008-11,-2.0_122.9,1,3.6,3.6,0.0,128.0,-1.95,122.94,0,-0.4266010790219253,0.12859721118292894,0.06171699371689719,0.12859721118292894,0,0
2008-11,-2.1_127.9,1,3.2,3.2,0.0,45.0,-2.08,127.89,0,-0.40063877216250476,0.12859721118292894,0.5639335777410651,0.5639335777410651,0,0
2008-11,-2.2_118.1,1,4.0,4.0,0.0,30.0,-2.25,118.13,0,-0.3897775286405261,0.12859721118292894,0.4404995903072707,0.4404995903072707,0,0
2008-11,-2.2_119.5,1,4.6,4.6,0.0,10.0,-2.18,119.5,0,-0.415623589721242,0.12859721118292894,1.1938244663435222,1.1938244663435222,0,0
2008-11,-2.2_128.6,1,3.2,3.2,0.0,111.0,-2.22,128.56,0,-0.4301609642238818,0.12859721118292894,0.5639335777410651,0.5639335777410651,0,0
2008-11,-2.3_128.9,1,3.2,3.2,0.0,50.0,-2.27,128.94,0,-0.40084243852660434,0.12859721118292894,0.5639335777410651,0.5639335777410651,0,0
2008-11,-2.4_119.8,1,4.1,4.1,0.0,5.0,-2.36,119.78,0,-0.3993050542192899,0.12859721118292894,0.5660537363133122,0.5660537363133122,0,0
2008-11,-2.4_99.8,1,5.0,5.0,0.0,58.0,-2.37,99.82,0,-0.49133221609637123,0.12859721118292894,1.6960410503676906,1.6960410503676906,0,0
2008-11,-2.5_100.8,1,4.2,4.2,0.0,10.0,-2.47,100.81,0,-0.4013890551918553,0.12859721118292894,0.6916078823193549,0.6916078823193549,0,0
2008-11,-2.5_119.9,1,2.9,2.9,0.0,20.0,-2.54,119.89,0,-0.38560156306505294,0.12859721118292894,0.9405960157591914,0.9405960157591914,0,0
2008-11,-2.6_119.2,1,3.4,3.4,0.0,10.0,-2.58,119.16,0,-0.36795039417743575,0.12859721118292894,0.3128252857289814,0.3128252857289814,0,0
2008-11,-2.6_127.8,1,2.9,2.9,0.0,21.0,-2.63,127.78,0,-0.3871956443142141,0.12859721118292894,0.9405960157591914,0.9405960157591914,0,0
2008-11,-2.7_130.8,1,3.9,3.9,0.0,20.0,-2.72,130.76,0,-0.38415608830524633,0.12859721118292894,0.31494544430122856,0.31494544430122856,0,0
2008-11,-2.9_116.4,1,5.8,5.8,0.0,159.0,-2.86,116.38,1,-0.641723105844656,0.12859721118292894,2.7004742184160264,2.7004742184160264,1,1
2008-11,-3.0_119.8,1,3.5,3.5,0.0,10.0,-2.95,119.78,0,-0.36821726231881596,0.12859721118292894,0.1872711397229393,0.1872711397229393,0,0
2008-11,-3.1_122.8,1,3.7,3.7,0.0,259.0,-3.1,122.84,0,-0.5205209018548935,0.12859721118292894,0.06383715228914491,0.12859721118292894,0,0
2008-11,-3.1_129.0,1,4.1,4.1,0.0,10.0,-3.07,129.02,0,-0.3971042332094573,0.12859721118292894,0.5660537363133122,0.5660537363133122,0,0
2008-11,-3.2_103.9,1,3.2,3.2,0.0,33.0,-3.17,103.9,0,-0.3857666109072952,0.12859721118292894,0.5639335777410651,0.5639335777410651,0,0
2008-11,-3.2_118.8,1,2.8,2.8,0.0,9.0,-3.17,118.8,0,-0.38991545832182684,0.12859721118292894,1.0661501617652336,1.0661501617652336,0,0
2008-11,-3.3_126.3,1,3.6,3.6,0.0,43.0,-3.26,126.29,0,-0.40300133228860957,0.12859721118292894,0.06171699371689719,0.12859721118292894,0,0
2008-11,-3.3_127.8,1,3.2,3.2,0.0,10.0,-3.3,127.85,0,-0.37308298394800327,0.12859721118292894,0.5639335777410651,0.5639335777410651,0,0
2008-11,-3.3_128.0,1,2.3,2.3,0.0,10.0,-3.32,128.02,0,-0.4581242529142773,0.12859721118292894,1.6939208917954436,1.6939208917954436,0,0
2008-11,-3.4_100.3,1,4.5,4.5,0.0,10.0,-3.39,100.29,0,-0.40404176394283936,0.12859721118292894,1.0682703203374806,1.0682703203374806,0,0
2008-11,-3.4_128.4,1,2.3,2.3,0.0,10.0,-3.43,128.39,0,-0.4581242529142773,0.12859721118292894,1.6939208917954436,1.6939208917954436,0,0
2008-11,-3.5_118.7,1,2.5,2.5,0.0,4.0,-3.5,118.72,0,-0.4125697802047392,0.12859721118292894,1.4428125997833592,1.4428125997833592,0,0
2008-11,-3.5_127.7,1,2.3,2.3,0.0,10.0,-3.46,127.72,0,-0.4581242529142773,0.12859721118292894,1.6939208917954436,1.6939208917954436,0,0
2008-11,-3.5_128.3,2,2.25,2.4,0.21213203435596414,32.0,-3.5199999999999996,128.29000000000002,0,-0.5242149307679977,0.2785934713932322,1.5683667457894013,1.5683667457894013,0,0
2008-11,-3.6_128.0,1,3.5,3.5,0.0,5.0,-3.65,127.99,0,-0.37073358044783233,0.12859721118292894,0.1872711397229393,0.1872711397229393,0,0
2008-11,-3.6_129.0,1,3.3,3.3,0.0,76.0,-3.61,129.0,0,-0.4076423598306711,0.12859721118292894,0.43837943173502353,0.43837943173502353,0,0
2008-11,-3.8_102.0,1,4.8,4.8,0.0,7.0,-3.77,102.0,0,-0.4450348214901314,0.12859721118292894,1.4449327583556064,1.4449327583556064,0,0
2008-11,-3.8_113.3,1,6.4,6.4,0.0,10.0,-3.77,113.26,1,-0.6472758715650553,0.12859721118292894,3.453799094452279,3.453799094452279,1,1
2008-11,-3.8_127.4,1,2.9,2.9,0.0,10.0,-3.76,127.38,0,-0.37830087630698034,0.12859721118292894,0.9405960157591914,0.9405960157591914,0,0
2008-11,-3.8_128.2,1,2.2,2.2,0.0,10.0,-3.75,128.21,0,-0.4691696222215798,0.12859721118292894,1.819475037801485,1.819475037801485,0,0
2008-11,-3.9_127.4,1,2.6,2.6,0.0,9.0,-3.94,127.45,0,-0.4041553890376086,0.12859721118292894,1.317258453777317,1.317258453777317,0,0
2008-11,-3.9_128.2,1,2.2,2.2,0.0,10.0,-3.89,128.24,0,-0.4691696222215798,0.12859721118292894,1.819475037801485,1.819475037801485,0,0
2008-11,-4.0_128.6,1,3.8,3.8,0.0,14.0,-4.04,128.64,0,-0.378304319153943,0.12859721118292894,0.18939129829518647,0.18939129829518647,0,0
2008-11,-4.1_128.2,1,2.4,2.4,0.0,10.0,-4.09,128.2,0,-0.41958858543133076,0.12859721118292894,1.5683667457894013,1.5683667457894013,0,0
2008-11,-4.2_101.4,1,6.2,6.2,0.0,10.0,-4.17,101.43,1,-0.6468380816862991,0.12859721118292894,3.2026908024401948,3.2026908024401948,1,1
2008-11,-4.2_102.1,1,5.2,5.2,0.0,48.0,-4.24,102.06,0,-0.5376569991553717,0.12859721118292894,1.9471493423797748,1.9471493423797748,0,0
2008-11,-4.2_128.1,1,2.4,2.4,0.0,5.0,-4.2,128.1,0,-0.423607606777157,0.12859721118292894,1.5683667457894013,1.5683667457894013,0,0
2008-11,-4.2_129.6,1,2.7,2.7,0.0,53.0,-4.24,129.6,0,-0.4445231172627126,0.12859721118292894,1.191704307771275,1.191704307771275,0,0
2008-11,-4.3_127.7,1,3.2,3.2,0.0,10.0,-4.26,127.66,0,-0.37308298394800327,0.12859721118292894,0.5639335777410651,0.5639335777410651,0,0
2008-11,-4.4_102.1,1,4.4,4.4,0.0,10.0,-4.4,102.13,0,-0.407564781911987,0.12859721118292894,0.9427161743314391,0.9427161743314391,0,0
2008-11,-4.4_113.1,1,5.7,5.7,0.0,317.0,-4.38,113.1,1,-0.6725532101816406,0.12859721118292894,2.5749200724099848,2.5749200724099848,1,1
2008-11,-4.4_127.4,1,3.2,3.2,0.0,10.0,-4.43,127.45,0,-0.37308298394800327,0.12859721118292894,0.5639335777410651,0.5639335777410651,0,0
2008-11,-4.4_130.6,1,3.2,3.2,0.0,22.0,-4.38,130.56,0,-0.3794521903526058,0.12859721118292894,0.5639335777410651,0.5639335777410651,0,0
2008-11,-4.5_101.1,1,6.4,6.4,0.0,5.0,-4.46,101.13,1,-0.6472758715650553,0.12859721118292894,3.453799094452279,3.453799094452279,1,1
2008-11,-4.5_126.4,1,6.0,6.0,0.0,10.0,-4.47,126.38,1,-0.6428210671547365,0.12859721118292894,2.9515825104281106,2.9515825104281106,1,1
2008-11,-4.7_101.1,1,4.9,4.9,0.0,10.0,-4.73,101.1,0,-0.4595429366660383,0.12859721118292894,1.5704869043616492,1.5704869043616492,0,0
2008-11,-4.8_102.8,1,3.1,3.1,0.0,84.0,-4.8,102.85,0,-0.42104939084552967,0.12859721118292894,0.6894877237471072,0.6894877237471072,0,0
2008-11,-4.9_101.5,1,5.9,5.9,0.0,11.0,-4.91,101.5,1,-0.6389698872087701,0.12859721118292894,2.826028364422069,2.826028364422069,1,1
2008-11,-5.0_103.0,1,4.2,4.2,0.0,25.0,-5.04,103.05,0,-0.4028527354334516,0.12859721118292894,0.6916078823193549,0.6916078823193549,0,0
2008-11,-5.0_103.5,1,2.8,2.8,0.0,18.0,-4.95,103.53,0,-0.3967868929227124,0.12859721118292894,1.0661501617652336,1.0661501617652336,0,0
2008-11,-5.0_116.0,1,4.9,4.9,0.0,551.0,-5.0,115.99,1,-0.6369079097484734,0.12859721118292894,1.5704869043616492,1.5704869043616492,0,1
2008-11,-5.0_121.3,1,2.6,2.6,0.0,26.0,-5.0,121.28,0,-0.41092485368086246,0.12859721118292894,1.317258453777317,1.317258453777317,0,0
2008-11,-5.2_110.8,1,4.5,4.5,0.0,10.0,-5.15,110.77,0,-0.40404176394283936,0.12859721118292894,1.0682703203374806,1.0682703203374806,0,0
2008-11,-5.2_128.7,1,3.4,3.4,0.0,270.0,-5.15,128.73,0,-0.5480410765160457,0.12859721118292894,0.3128252857289814,0.3128252857289814,0,0
2008-11,-5.3_131.7,1,4.7,4.7,0.0,60.0,-5.31,131.68,0,-0.4377936616853264,0.12859721118292894,1.3193786123495648,1.3193786123495648,0,0
2008-11,-5.6_102.7,1,3.5,3.5,0.0,29.0,-5.55,102.7,0,-0.38008631581861635,0.12859721118292894,0.1872711397229393,0.1872711397229393,0,0
2008-11,-5.6_132.1,1,4.4,4.4,0.0,10.0,-5.57,132.1,0,-0.407564781911987,0.12859721118292894,0.9427161743314391,0.9427161743314391,0,0
2008-11,-5.7_108.0,1,4.6,4.6,0.0,403.0,-5.67,107.98,1,-0.5944636958075628,0.12859721118292894,1.1938244663435222,1.1938244663435222,0,1
2008-11,-5.8_103.6,1,4.6,4.6,0.0,30.0,-5.85,103.64,0,-0.4206919318139377,0.12859721118292894,1.1938244663435222,1.1938244663435222,0,0
2008-11,-5.9_106.7,1,4.7,4.7,0.0,267.0,-5.89,106.72,0,-0.5331946202531112,0.12859721118292894,1.3193786123495648,1.3193786123495648,0,0
2008-11,-6.0_103.7,1,4.5,4.5,0.0,12.0,-6.02,103.69,0,-0.4093906116166178,0.12859721118292894,1.0682703203374806,1.0682703203374806,0,0
2008-11,-6.0_104.0,1,3.8,3.8,0.0,12.0,-5.97,103.96,0,-0.37650758125836564,0.12859721118292894,0.18939129829518647,0.18939129829518647,0,0
2008-11,-6.0_106.2,1,3.6,3.6,0.0,94.0,-6.02,106.15,0,-0.4209008089540367,0.12859721118292894,0.06171699371689719,0.12859721118292894,0,0
2008-11,-6.0_129.1,1,3.6,3.6,0.0,10.0,-6.01,129.11,0,-0.372407373036811,0.12859721118292894,0.06171699371689719,0.12859721118292894,0,0
2008-11,-6.1_105.4,1,5.2,5.2,0.0,143.0,-6.11,105.4,0,-0.5656811422899183,0.12859721118292894,1.9471493423797748,1.9471493423797748,0,0
2008-11,-6.2_129.3,1,4.8,4.8,0.0,23.0,-6.21,129.26,0,-0.44408572202904567,0.12859721118292894,1.4449327583556064,1.4449327583556064,0,0
2008-11,-6.3_128.8,1,4.0,4.0,0.0,223.0,-6.32,128.83,0,-0.47522164432177766,0.12859721118292894,0.4404995903072707,0.4404995903072707,0,0
2008-11,-6.4_129.5,1,4.3,4.3,0.0,70.0,-6.41,129.54,0,-0.4209501767632135,0.12859721118292894,0.8171620283253964,0.8171620283253964,0,0
2008-11,-6.4_130.1,1,4.6,4.6,0.0,104.0,-6.42,130.13,0,-0.44321354232226307,0.12859721118292894,1.1938244663435222,1.1938244663435222,0,0
2008-11,-6.6_129.4,1,5.5,5.5,0.0,30.0,-6.61,129.39,1,-0.5825580092388501,0.12859721118292894,2.3238117803979006,2.3238117803979006,1,1
2008-11,-6.6_129.6,1,4.6,4.6,0.0,10.0,-6.55,129.64,0,-0.415623589721242,0.12859721118292894,1.1938244663435222,1.1938244663435222,0,0
2008-11,-6.6_129.8,1,4.7,4.7,0.0,103.0,-6.62,129.78,0,-0.45345570981729516,0.12859721118292894,1.3193786123495648,1.3193786123495648,0,0
2008-11,-6.6_130.5,1,5.0,5.0,0.0,82.0,-6.65,130.51,0,-0.5014847911373258,0.12859721118292894,1.6960410503676906,1.6960410503676906,0,0
2008-11,-6.7_103.3,1,3.6,3.6,0.0,30.0,-6.67,103.3,0,-0.38220715892787444,0.12859721118292894,0.06171699371689719,0.12859721118292894,0,0
2008-11,-6.8_129.4,1,6.2,6.2,0.0,39.0,-6.76,129.37,1,-0.6524440093084115,0.12859721118292894,3.2026908024401948,3.2026908024401948,1,1
2008-11,-6.8_129.9,1,4.5,4.5,0.0,127.0,-6.82,129.88,0,-0.4360565015460415,0.12859721118292894,1.0682703203374806,1.0682703203374806,0,0
2008-11,-6.9_127.0,1,5.1,5.1,0.0,378.0,-6.94,127.0,1,-0.617485216574441,0.12859721118292894,1.8215951963737322,1.8215951963737322,0,1
2008-11,-7.0_106.6,1,3.7,3.7,0.0,121.0,-7.01,106.63,0,-0.42135525872808527,0.12859721118292894,0.06383715228914491,0.12859721118292894,0,0
2008-11,-7.1_105.8,1,3.6,3.6,0.0,32.0,-7.06,105.76,0,-0.3854520362778887,0.12859721118292894,0.06171699371689719,0.12859721118292894,0,0
2008-11,-7.1_109.1,1,4.6,4.6,0.0,224.0,-7.12,109.06,0,-0.49378904644836485,0.12859721118292894,1.1938244663435222,1.1938244663435222,0,0
2008-11,-7.1_129.5,1,4.7,4.7,0.0,128.0,-7.12,129.51,0,-0.4652338410286122,0.12859721118292894,1.3193786123495648,1.3193786123495648,0,0
2008-11,-7.1_129.7,1,4.8,4.8,0.0,135.0,-7.07,129.67,0,-0.48346410833249853,0.12859721118292894,1.4449327583556064,1.4449327583556064,0,0
2008-11,-7.2_121.0,1,4.5,4.5,0.0,650.0,-7.25,121.0,1,-0.639392743287746,0.12859721118292894,1.0682703203374806,1.0682703203374806,0,1
2008-11,-7.2_126.6,1,4.9,4.9,0.0,441.0,-7.25,126.65,1,-0.6110594921780365,0.12859721118292894,1.5704869043616492,1.5704869043616492,0,1
2008-11,-7.2_128.0,1,5.0,5.0,0.0,30.0,-7.24,127.97,0,-0.4883216961432691,0.12859721118292894,1.6960410503676906,1.6960410503676906,0,0
2008-11,-7.3_130.0,1,4.5,4.5,0.0,10.0,-7.33,129.97,0,-0.40404176394283936,0.12859721118292894,1.0682703203374806,1.0682703203374806,0,0
2008-11,-7.4_105.3,1,3.3,3.3,0.0,18.0,-7.37,105.31,0,-0.3743783417637033,0.12859721118292894,0.43837943173502353,0.43837943173502353,0,0
